month,number,mean_distance
1,6,4.686779716576808
2,6,4.686779716576808
3,10,4.959839891209765
4,16,5.270543951832905
5,20,5.224171025781349
6,49,4.934372459311301
7,49,4.934372459311301
8,59,5.230543143899332
9,293,6.259004550008947
10,293,6.259004550008947
11,299,6.259971828013193
12,1056,6.587377152119167
