month,number,mean_distance
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,7,3.2494501249505063
8,7,3.2494501249505063
9,7,3.2494501249505063
10,46,4.556085295798953
11,46,4.556085295798953
12,82,4.137265717012318
