day,number,mean_distance
1,1,0.0
2,1,0.0
3,1,0.0
4,2,2.6562068703719257
5,2,2.6562068703719257
6,2,2.6562068703719257
7,4,3.2510647123315253
8,5,3.6065063032566878
9,5,3.6065063032566878
10,5,3.6065063032566878
11,6,3.756785531822312
12,6,3.756785531822312
13,6,3.756785531822312
14,6,3.756785531822312
15,6,3.756785531822312
16,6,3.756785531822312
17,6,3.756785531822312
18,6,3.756785531822312
19,6,3.756785531822312
20,6,3.756785531822312
21,6,3.756785531822312
22,6,3.756785531822312
23,6,3.756785531822312
24,6,3.756785531822312
25,6,3.756785531822312
26,6,3.756785531822312
27,6,3.756785531822312
28,6,3.756785531822312
29,6,3.756785531822312
30,6,3.756785531822312
31,6,3.756785531822312
32,6,3.756785531822312
33,6,3.756785531822312
34,6,3.756785531822312
35,6,3.756785531822312
36,6,3.756785531822312
37,6,3.756785531822312
38,6,3.756785531822312
39,6,3.756785531822312
40,6,3.756785531822312
41,6,3.756785531822312
42,6,3.756785531822312
43,6,3.756785531822312
44,6,3.756785531822312
45,6,3.756785531822312
46,6,3.756785531822312
47,6,3.756785531822312
48,6,3.756785531822312
49,6,3.756785531822312
50,6,3.756785531822312
51,6,3.756785531822312
52,6,3.756785531822312
53,6,3.756785531822312
54,6,3.756785531822312
55,6,3.756785531822312
56,6,3.756785531822312
57,6,3.756785531822312
58,6,3.756785531822312
59,6,3.756785531822312
60,6,3.756785531822312
61,6,3.756785531822312
62,6,3.756785531822312
63,6,3.756785531822312
64,6,3.756785531822312
65,6,3.756785531822312
66,6,3.756785531822312
67,6,3.756785531822312
68,6,3.756785531822312
69,6,3.756785531822312
70,6,3.756785531822312
71,6,3.756785531822312
72,6,3.756785531822312
73,6,3.756785531822312
74,6,3.756785531822312
75,6,3.756785531822312
76,6,3.756785531822312
77,6,3.756785531822312
78,6,3.756785531822312
79,6,3.756785531822312
80,6,3.756785531822312
81,6,3.756785531822312
82,6,3.756785531822312
83,6,3.756785531822312
84,6,3.756785531822312
85,6,3.756785531822312
86,6,3.756785531822312
87,6,3.756785531822312
88,6,3.756785531822312
89,6,3.756785531822312
90,6,3.756785531822312
91,6,3.756785531822312
92,6,3.756785531822312
93,6,3.756785531822312
94,6,3.756785531822312
95,8,3.83653966945374
96,9,3.936884355057305
97,9,3.936884355057305
98,9,3.936884355057305
99,12,4.15878898659708
100,12,4.15878898659708
101,12,4.15878898659708
102,14,4.095851731681971
103,16,4.079387850895758
104,16,4.079387850895758
105,19,4.19217620138731
106,21,4.263712036980419
107,27,4.787201537435302
108,29,4.772019146449717
109,30,4.751192870325848
110,33,4.693047749215942
111,36,4.716969032779295
112,39,4.69111402829776
113,40,4.689452204224753
114,40,4.689452204224753
115,40,4.689452204224753
116,41,4.674129633632619
117,41,4.674129633632619
118,41,4.674129633632619
119,41,4.674129633632619
120,41,4.674129633632619
121,41,4.674129633632619
122,41,4.674129633632619
123,41,4.674129633632619
124,41,4.674129633632619
125,41,4.674129633632619
126,41,4.674129633632619
127,41,4.674129633632619
128,41,4.674129633632619
129,41,4.674129633632619
130,41,4.674129633632619
131,41,4.674129633632619
132,41,4.674129633632619
133,41,4.674129633632619
134,41,4.674129633632619
135,41,4.674129633632619
136,41,4.674129633632619
137,41,4.674129633632619
138,41,4.674129633632619
139,41,4.674129633632619
140,41,4.674129633632619
141,41,4.674129633632619
142,41,4.674129633632619
143,41,4.674129633632619
144,41,4.674129633632619
145,41,4.674129633632619
146,41,4.674129633632619
147,41,4.674129633632619
148,41,4.674129633632619
149,41,4.674129633632619
150,41,4.674129633632619
151,41,4.674129633632619
152,41,4.674129633632619
153,41,4.674129633632619
154,41,4.674129633632619
155,41,4.674129633632619
156,41,4.674129633632619
157,41,4.674129633632619
158,41,4.674129633632619
159,41,4.674129633632619
160,41,4.674129633632619
161,41,4.674129633632619
162,41,4.674129633632619
163,41,4.674129633632619
164,41,4.674129633632619
165,41,4.674129633632619
166,41,4.674129633632619
167,41,4.674129633632619
168,41,4.674129633632619
169,41,4.674129633632619
170,41,4.674129633632619
171,41,4.674129633632619
172,41,4.674129633632619
173,41,4.674129633632619
174,41,4.674129633632619
175,41,4.674129633632619
176,41,4.674129633632619
177,41,4.674129633632619
178,41,4.674129633632619
179,41,4.674129633632619
180,41,4.674129633632619
181,41,4.674129633632619
182,41,4.674129633632619
183,41,4.674129633632619
184,41,4.674129633632619
185,41,4.674129633632619
186,41,4.674129633632619
187,41,4.674129633632619
188,41,4.674129633632619
189,42,4.667880581873005
190,42,4.667880581873005
191,45,4.682973660640277
192,50,4.669713952008125
193,53,4.71879355331353
194,55,4.695073932759954
195,57,4.6972880937253665
196,64,4.706347149109044
197,73,4.798414054213704
198,86,4.8189826612729
199,91,4.793372120568528
200,102,4.826094094041072
201,112,4.846547855794853
202,124,4.812043955051708
203,132,4.814231819356563
204,142,4.805412765337801
205,156,4.805999573458959
206,166,4.817871117633577
207,168,4.8153100475810895
208,175,4.829018209833442
209,188,4.811794726808312
210,193,4.804514144784431
211,201,4.822258968135813
212,206,4.83403635131579
213,208,4.830909969111774
214,211,4.831696989506478
215,213,4.8263463570759955
216,217,4.834648774829465
217,217,4.834648774829465
218,217,4.834648774829465
219,217,4.834648774829465
220,217,4.834648774829465
221,217,4.834648774829465
222,217,4.834648774829465
223,217,4.834648774829465
224,217,4.834648774829465
225,217,4.834648774829465
226,217,4.834648774829465
227,217,4.834648774829465
228,217,4.834648774829465
229,217,4.834648774829465
230,217,4.834648774829465
231,217,4.834648774829465
232,217,4.834648774829465
233,217,4.834648774829465
234,217,4.834648774829465
235,217,4.834648774829465
236,217,4.834648774829465
237,217,4.834648774829465
238,217,4.834648774829465
239,217,4.834648774829465
240,217,4.834648774829465
241,217,4.834648774829465
242,217,4.834648774829465
243,217,4.834648774829465
244,217,4.834648774829465
245,217,4.834648774829465
246,217,4.834648774829465
247,217,4.834648774829465
248,217,4.834648774829465
249,217,4.834648774829465
250,217,4.834648774829465
251,217,4.834648774829465
252,217,4.834648774829465
253,217,4.834648774829465
254,217,4.834648774829465
255,217,4.834648774829465
256,217,4.834648774829465
257,217,4.834648774829465
258,217,4.834648774829465
259,217,4.834648774829465
260,217,4.834648774829465
261,217,4.834648774829465
262,217,4.834648774829465
263,217,4.834648774829465
264,217,4.834648774829465
265,217,4.834648774829465
266,217,4.834648774829465
267,217,4.834648774829465
268,217,4.834648774829465
269,217,4.834648774829465
270,217,4.834648774829465
271,217,4.834648774829465
272,217,4.834648774829465
273,217,4.834648774829465
274,217,4.834648774829465
275,217,4.834648774829465
276,217,4.834648774829465
277,217,4.834648774829465
278,217,4.834648774829465
279,217,4.834648774829465
280,217,4.834648774829465
281,218,4.833412073489868
282,218,4.833412073489868
283,218,4.833412073489868
284,218,4.833412073489868
285,219,4.832630097602098
286,219,4.832630097602098
287,220,4.831631057782837
288,220,4.831631057782837
289,220,4.831631057782837
290,220,4.831631057782837
291,220,4.831631057782837
292,221,4.832239795898687
293,225,4.809699050279144
294,229,4.789308551053444
295,237,4.7542967382498444
296,242,4.763593272935161
297,249,4.747081802446115
298,253,4.7395157333078535
299,256,4.730650581754403
300,262,4.713012843334828
301,268,4.704649293906182
302,276,4.695878128748961
303,284,4.681520843599613
304,287,4.672221461666106
305,287,4.672221461666106
306,288,4.666934646491679
307,289,4.663377507118045
308,291,4.658050212466992
309,291,4.658050212466992
310,291,4.658050212466992
311,291,4.658050212466992
312,292,4.659329513408093
313,292,4.659329513408093
314,292,4.659329513408093
315,292,4.659329513408093
316,292,4.659329513408093
317,292,4.659329513408093
318,292,4.659329513408093
319,292,4.659329513408093
320,292,4.659329513408093
321,292,4.659329513408093
322,292,4.659329513408093
323,292,4.659329513408093
324,339,4.749974632597862
325,339,4.749974632597862
326,377,4.801828291079738
327,404,4.816956170473932
328,441,4.8572091813471046
329,466,4.849508903137172
330,496,4.863665925607174
331,535,4.898521308114675
332,557,4.916914304926019
333,600,4.983402977230044
334,600,4.983402977230044
335,600,4.983402977230044
336,600,4.983402977230044
337,600,4.983402977230044
338,600,4.983402977230044
339,600,4.983402977230044
340,600,4.983402977230044
341,600,4.983402977230044
342,600,4.983402977230044
343,600,4.983402977230044
344,600,4.983402977230044
345,600,4.983402977230044
346,600,4.983402977230044
347,600,4.983402977230044
348,600,4.983402977230044
349,600,4.983402977230044
350,600,4.983402977230044
351,600,4.983402977230044
352,600,4.983402977230044
353,600,4.983402977230044
354,600,4.983402977230044
355,600,4.983402977230044
356,600,4.983402977230044
357,600,4.983402977230044
358,600,4.983402977230044
359,600,4.983402977230044
360,600,4.983402977230044
