1,0,5,0,5,0,87,2.780471856
1,0,5,0,5,0.5,109,2.990998679
1,0,5,0,5,1,88,2.835430076
1,0,5,0,10,0,118,4.846531725
1,0,5,0,10,0.5,143,5.130549012
1,0,5,0,10,1,121,4.667886627
1,0,5,5,0,0,78,2.879262383
1,0,5,5,0,0.5,68,2.904624163
1,0,5,5,0,1,82,2.729758941
1,0,5,5,5,0,124,3.594373462
1,0,5,5,5,0.5,93,3.941409113
1,0,5,5,5,1,106,3.89942552
1,0,5,5,10,0,143,5.690832277
1,0,5,5,10,0.5,141,6.224685038
1,0,5,5,10,1,133,5.68917889
1,0,5,10,0,0,108,4.934970805
1,0,5,10,0,0.5,123,5.635963519
1,0,5,10,0,1,126,5.125154192
1,0,5,10,5,0,133,5.198517636
1,0,5,10,5,0.5,116,6.248874957
1,0,5,10,5,1,130,5.34319409
1,0,5,10,10,0,154,6.526709662
1,0,5,10,10,0.5,145,7.342154324
1,0,5,10,10,1,141,6.389796724
1,0,5,15,0,0,105,7.391259494
1,0,5,15,0,0.5,144,8.432036589
1,0,5,15,0,1,129,7.347816573
1,0,5,15,5,0,117,7.601894179
1,0,5,15,5,0.5,151,8.819008403
1,0,5,15,5,1,135,7.532002711
1,0,5,15,10,0,153,8.070382311
1,0,5,15,10,0.5,163,8.798305014
1,0,5,15,10,1,134,8.403826536
1,0,10,0,5,0,95,3.036758642
1,0,10,0,5,0.5,122,3.273650048
1,0,10,0,5,1,101,2.949871272
1,0,10,0,10,0,152,5.130922029
1,0,10,0,10,0.5,160,5.361069502
1,0,10,0,10,1,156,4.9772058
1,0,10,5,0,0,63,3.068210717
1,0,10,5,0,0.5,86,3.421903854
1,0,10,5,0,1,73,3.021120485
1,0,10,5,5,0,111,4.072582785
1,0,10,5,5,0.5,153,4.398502188
1,0,10,5,5,1,136,4.167661789
1,0,10,5,10,0,160,6.655172776
1,0,10,5,10,0.5,129,7.014393295
1,0,10,5,10,1,147,6.153815643
1,0,10,10,0,0,134,5.572314259
1,0,10,10,0,0.5,139,6.50248472
1,0,10,10,0,1,115,5.620874053
1,0,10,10,5,0,143,5.932280691
1,0,10,10,5,0.5,174,6.790579913
1,0,10,10,5,1,119,5.937623623
1,0,10,10,10,0,157,8.287497111
1,0,10,10,10,0.5,178,8.566500688
1,0,10,10,10,1,138,7.426073457
1,0,10,15,0,0,130,8.348670527
1,0,10,15,0,0.5,165,9.613055877
1,0,10,15,0,1,121,8.451690832
1,0,10,15,5,0,140,8.556665391
1,0,10,15,5,0.5,182,9.860519247
1,0,10,15,5,1,154,8.456434039
1,0,10,15,10,0,188,9.030648557
1,0,10,15,10,0.5,216,10.81693597
1,0,10,15,10,1,146,9.280474754
1,10,0,0,5,0,736,4.767321252
1,10,0,0,5,0.5,842,5.11166715
1,10,0,0,5,1,735,4.7503268
1,10,0,0,10,0,2199,8.675105497
1,10,0,0,10,0.5,2372,9.35424036
1,10,0,0,10,1,2280,8.759973957
1,10,0,5,0,0,282,3.79729697
1,10,0,5,0,0.5,269,4.067623456
1,10,0,5,0,1,306,4.050728581
1,10,0,5,5,0,1285,6.252597498
1,10,0,5,5,0.5,1497,6.815902441
1,10,0,5,5,1,1276,6.145813031
1,10,0,5,10,0,3127,10.08695642
1,10,0,5,10,0.5,3361,10.990709
1,10,0,5,10,1,3195,10.18510366
1,10,0,10,0,0,597,5.831802081
1,10,0,10,0,0.5,624,6.601853994
1,10,0,10,0,1,585,5.772088226
1,10,0,10,5,0,2295,8.05942128
1,10,0,10,5,0.5,2462,8.774118949
1,10,0,10,5,1,2258,8.018631461
1,10,0,10,10,0,4621,11.9711806
1,10,0,10,10,0.5,4262,12.38575357
