month,number,mean_distance
1,6,3.7042661002594186
2,6,3.7042661002594186
3,6,3.7042661002594186
4,38,4.524492081270985
5,38,4.524492081270985
6,38,4.524492081270985
7,175,4.880593723742821
8,202,4.858709826334231
9,202,4.858709826334231
10,245,4.777751990496142
11,547,4.983049154643751
12,598,5.0121142844339515
