id,status,x,y
1,Status.InterDis,0,0
2,Status.Hold,5.196573153870531,3.039764637846329
3,Status.Hold,1.8549668880186754,2.666339221673709
4,Status.Hold,1.2548041859569998,2.537274334104961
5,Status.Hold,0.07704685289759762,2.7976907587124016
6,Status.Hold,1.4954791867873554,2.8325073831640952
7,Status.Hold,2.074199657480634,2.3581091194463792
8,Status.Hold,0.968231516723839,2.9921154249901574
9,Status.Hold,4.816135942125988,1.152211737650737
10,Status.Hold,2.7198875596398087,3.170066720982684
11,Status.Hold,0.7322800547748293,4.308411464640105
12,Status.Hold,3.8632316185918345,4.014835164219984
13,Status.InterDis,3.695172765572231,2.1568578943357806
14,Status.Hold,0.12626070376738727,4.773792987766651
15,Status.Dev,3.2898837214500642,1.0739174144969654
16,Status.Dev,0.01805667348352041,3.1496023317064994
17,Status.Dev,4.8836425523281175,1.4150023666802811
18,Status.Dev,2.8711640932895137,3.245959873453984
19,Status.Dev,2.0584936923405115,0.2729285460058782
20,Status.Dev,0.4810830420343923,2.933579012663022
21,Status.Dev,0.057512265025359235,3.785967768161111
22,Status.Dev,2.827049473174602,4.41889052607571
23,Status.Dev,3.1746184464855856,2.8419613047118375
24,Status.Dev,4.048039439058636,1.3121767295931495
25,Status.Dev,3.582656652443151,2.674345829880248
26,Status.Dev,5.898634894046905,3.5109071293106804
