month,number,mean_distance
1,5,3.1045618244313546
2,5,3.1045618244313546
3,6,3.148554268300032
4,43,3.927816999063753
5,43,3.927816999063753
6,46,3.9267650523352415
7,216,4.178665149809969
8,216,4.178665149809969
9,270,4.112943904722461
10,511,4.225871410030014
11,513,4.227578007259713
12,545,4.282308294716256
