month,number,mean_distance
1,9,4.585611376974927
2,9,4.585611376974927
3,9,4.585611376974927
4,44,4.790398569966279
5,44,4.790398569966279
6,44,4.790398569966279
7,84,4.520388322298665
8,84,4.520388322298665
9,84,4.520388322298665
10,107,4.498054360172212
11,436,4.991877894401692
12,436,4.991877894401692
