day,number,mean_distance
1,1,0.0
2,3,2.7046800338972705
3,3,2.7046800338972705
4,3,2.7046800338972705
5,3,2.7046800338972705
6,3,2.7046800338972705
7,4,3.5318131471302285
8,4,3.5318131471302285
9,5,3.6970749874476057
10,5,3.6970749874476057
11,6,3.761655342232038
12,6,3.761655342232038
13,6,3.761655342232038
14,6,3.761655342232038
15,6,3.761655342232038
16,6,3.761655342232038
17,6,3.761655342232038
18,6,3.761655342232038
19,6,3.761655342232038
20,6,3.761655342232038
21,6,3.761655342232038
22,6,3.761655342232038
23,6,3.761655342232038
24,6,3.761655342232038
25,6,3.761655342232038
26,6,3.761655342232038
27,6,3.761655342232038
28,6,3.761655342232038
29,6,3.761655342232038
30,6,3.761655342232038
31,6,3.761655342232038
32,6,3.761655342232038
33,6,3.761655342232038
34,6,3.761655342232038
35,6,3.761655342232038
36,6,3.761655342232038
37,6,3.761655342232038
38,6,3.761655342232038
39,6,3.761655342232038
40,6,3.761655342232038
41,6,3.761655342232038
42,6,3.761655342232038
43,6,3.761655342232038
44,6,3.761655342232038
45,6,3.761655342232038
46,6,3.761655342232038
47,6,3.761655342232038
48,6,3.761655342232038
49,6,3.761655342232038
50,6,3.761655342232038
51,6,3.761655342232038
52,6,3.761655342232038
53,6,3.761655342232038
54,6,3.761655342232038
55,6,3.761655342232038
56,6,3.761655342232038
57,6,3.761655342232038
58,6,3.761655342232038
59,6,3.761655342232038
60,6,3.761655342232038
61,6,3.761655342232038
62,6,3.761655342232038
63,6,3.761655342232038
64,6,3.761655342232038
65,6,3.761655342232038
66,6,3.761655342232038
67,6,3.761655342232038
68,6,3.761655342232038
69,6,3.761655342232038
70,6,3.761655342232038
71,6,3.761655342232038
72,6,3.761655342232038
73,6,3.761655342232038
74,6,3.761655342232038
75,6,3.761655342232038
76,6,3.761655342232038
77,6,3.761655342232038
78,6,3.761655342232038
79,6,3.761655342232038
80,6,3.761655342232038
81,6,3.761655342232038
82,6,3.761655342232038
83,6,3.761655342232038
84,6,3.761655342232038
85,6,3.761655342232038
86,6,3.761655342232038
87,6,3.761655342232038
88,6,3.761655342232038
89,6,3.761655342232038
90,6,3.761655342232038
91,6,3.761655342232038
92,6,3.761655342232038
93,6,3.761655342232038
94,6,3.761655342232038
95,6,3.761655342232038
96,6,3.761655342232038
97,6,3.761655342232038
98,6,3.761655342232038
99,6,3.761655342232038
100,6,3.761655342232038
101,6,3.761655342232038
102,6,3.761655342232038
103,6,3.761655342232038
104,6,3.761655342232038
105,6,3.761655342232038
106,6,3.761655342232038
107,7,3.7128784671572808
108,12,4.3354839020697264
109,14,4.535186087414166
110,14,4.535186087414166
111,16,4.5999864837529705
112,23,4.610730214337343
113,24,4.7015107184398675
114,32,4.786914375343981
115,38,4.860587156316706
116,41,4.843681837423567
117,41,4.843681837423567
118,41,4.843681837423567
119,41,4.843681837423567
120,41,4.843681837423567
121,41,4.843681837423567
122,41,4.843681837423567
123,41,4.843681837423567
124,41,4.843681837423567
125,41,4.843681837423567
126,41,4.843681837423567
127,41,4.843681837423567
128,41,4.843681837423567
129,41,4.843681837423567
130,41,4.843681837423567
131,41,4.843681837423567
132,41,4.843681837423567
133,41,4.843681837423567
134,41,4.843681837423567
135,41,4.843681837423567
136,41,4.843681837423567
137,41,4.843681837423567
138,41,4.843681837423567
139,41,4.843681837423567
140,41,4.843681837423567
141,41,4.843681837423567
142,41,4.843681837423567
143,41,4.843681837423567
144,41,4.843681837423567
145,41,4.843681837423567
146,41,4.843681837423567
147,41,4.843681837423567
148,41,4.843681837423567
149,41,4.843681837423567
150,41,4.843681837423567
151,41,4.843681837423567
152,41,4.843681837423567
153,41,4.843681837423567
154,41,4.843681837423567
155,41,4.843681837423567
156,41,4.843681837423567
157,41,4.843681837423567
158,41,4.843681837423567
159,41,4.843681837423567
160,41,4.843681837423567
161,41,4.843681837423567
162,41,4.843681837423567
163,41,4.843681837423567
164,41,4.843681837423567
165,41,4.843681837423567
166,41,4.843681837423567
167,41,4.843681837423567
168,41,4.843681837423567
169,41,4.843681837423567
170,41,4.843681837423567
171,41,4.843681837423567
172,41,4.843681837423567
173,41,4.843681837423567
174,41,4.843681837423567
175,41,4.843681837423567
176,41,4.843681837423567
177,41,4.843681837423567
178,41,4.843681837423567
179,41,4.843681837423567
180,41,4.843681837423567
181,41,4.843681837423567
182,41,4.843681837423567
183,41,4.843681837423567
184,41,4.843681837423567
185,41,4.843681837423567
186,41,4.843681837423567
187,41,4.843681837423567
188,41,4.843681837423567
189,41,4.843681837423567
190,41,4.843681837423567
191,41,4.843681837423567
192,42,4.8639029218802445
