month,number,mean_distance
1,6,3.6997638588596047
2,6,3.6997638588596047
3,6,3.6997638588596047
4,6,3.6997638588596047
5,39,4.700348106100395
6,46,4.655573632603682
7,52,4.664749239860479
8,78,4.758571261803064
9,238,4.912292293033963
10,254,4.937376941861002
11,262,4.93424078992711
12,610,5.151731307453388
