month,number,mean_distance
1,9,4.5015607073835096
2,9,4.5015607073835096
3,24,3.9955742074846903
4,24,3.9955742074846903
5,24,3.9955742074846903
6,24,3.9955742074846903
7,24,3.9955742074846903
8,24,3.9955742074846903
9,24,3.9955742074846903
10,55,3.927749618170968
11,55,3.927749618170968
12,75,4.240786313408042
