month,number,mean_distance
1,15,3.865372441432464
2,15,3.79242405201412
3,15,3.6717316566746234
4,26,3.941254698137022
5,147,4.680150863641568
6,121,4.824156858704919
7,271,4.926861493972172
8,474,4.975200151425917
9,656,5.1541345235585725
10,883,5.362573914068126
11,837,5.3015642965728675
12,962,5.511006765070635
