day,number,mean_distance
1,1,0.0
2,3,4.359423937110831
3,3,4.359423937110831
4,4,4.760250227694494
5,4,4.760250227694494
6,5,5.005073509138645
7,5,5.005073509138645
8,6,5.4270436585403665
9,6,5.4270436585403665
10,7,5.398811975494591
11,8,5.415531569745434
12,8,5.415531569745434
13,8,5.415531569745434
14,8,5.415531569745434
15,8,5.415531569745434
16,8,5.415531569745434
17,8,5.415531569745434
18,8,5.415531569745434
19,8,5.415531569745434
20,8,5.415531569745434
21,8,5.415531569745434
22,8,5.415531569745434
23,8,5.415531569745434
24,8,5.415531569745434
25,8,5.415531569745434
26,8,5.415531569745434
27,8,5.415531569745434
28,8,5.415531569745434
29,8,5.415531569745434
30,8,5.415531569745434
31,8,5.415531569745434
32,8,5.415531569745434
33,8,5.415531569745434
34,8,5.415531569745434
35,8,5.415531569745434
36,8,5.415531569745434
37,8,5.415531569745434
38,8,5.415531569745434
39,8,5.415531569745434
40,8,5.415531569745434
41,8,5.415531569745434
42,8,5.415531569745434
43,8,5.415531569745434
44,8,5.415531569745434
45,8,5.415531569745434
46,8,5.415531569745434
47,8,5.415531569745434
48,8,5.415531569745434
49,8,5.415531569745434
50,8,5.415531569745434
51,8,5.415531569745434
52,8,5.415531569745434
53,8,5.415531569745434
54,8,5.415531569745434
55,8,5.415531569745434
56,8,5.415531569745434
57,8,5.415531569745434
58,8,5.415531569745434
59,8,5.415531569745434
60,8,5.415531569745434
61,8,5.415531569745434
62,8,5.415531569745434
63,8,5.415531569745434
64,8,5.415531569745434
65,8,5.415531569745434
66,8,5.415531569745434
67,8,5.415531569745434
68,8,5.415531569745434
69,8,5.415531569745434
70,8,5.415531569745434
71,8,5.415531569745434
72,8,5.415531569745434
73,8,5.415531569745434
74,8,5.415531569745434
75,8,5.415531569745434
76,8,5.415531569745434
77,8,5.415531569745434
78,8,5.415531569745434
79,8,5.415531569745434
80,8,5.415531569745434
81,8,5.415531569745434
82,8,5.415531569745434
83,8,5.415531569745434
84,8,5.415531569745434
85,8,5.415531569745434
86,8,5.415531569745434
87,9,5.296709451515112
88,10,5.141809498279147
89,12,5.20301340059438
90,13,5.252705868737937
91,16,5.399474223214639
92,20,5.450551895894257
93,20,5.450551895894257
94,22,5.392013585888519
95,22,5.392013585888519
96,22,5.392013585888519
97,22,5.392013585888519
98,22,5.392013585888519
99,22,5.392013585888519
100,22,5.392013585888519
101,22,5.392013585888519
102,22,5.392013585888519
103,22,5.392013585888519
104,22,5.392013585888519
105,22,5.392013585888519
106,22,5.392013585888519
107,22,5.392013585888519
108,22,5.392013585888519
109,22,5.392013585888519
110,22,5.392013585888519
111,22,5.392013585888519
112,22,5.392013585888519
