id,Hum,number,mean_distance
1,0.0,734.461,4.738301386232102
2,0.05,734.497,4.737524634897047
3,0.1,737.885,4.737892033786167
4,0.15000000000000002,734.807,4.7358344614147105
5,0.2,735.889,4.735627271636888
6,0.25,737.002,4.736861625620674
7,0.30000000000000004,732.053,4.735328117710802
8,0.35000000000000003,734.273,4.733209346059378
9,0.4,737.176,4.739591260123813
10,0.45,894.484,5.216801370525141
11,0.5,887.797,5.213080133735263
12,0.55,1004.424,5.607135358161502
13,0.6000000000000001,1001.721,5.605430083304145
14,0.65,994.317,5.602491697410677
15,0.7000000000000001,896.788,5.215419727199703
16,0.75,894.102,5.2158360641512544
17,0.8,736.123,4.737898909839589
18,0.8500000000000001,735.527,4.737095849082886
19,0.9,742.396,4.735254236891206
20,0.9500000000000001,730.851,4.734082475020868
21,1.0,735.074,4.73565433774092
