day,number,mean_distance
1,1,0.0
2,2,1.8987874066369537
3,2,1.8987874066369537
4,2,1.8987874066369537
5,3,2.4254938456345108
6,4,3.2886174276569466
7,6,3.3078572316977115
8,8,3.402861081917776
9,8,3.402861081917776
10,9,3.360419525457583
11,10,3.444942685490814
12,10,3.444942685490814
13,10,3.444942685490814
14,10,3.444942685490814
15,10,3.444942685490814
16,10,3.444942685490814
17,10,3.444942685490814
18,10,3.444942685490814
19,10,3.444942685490814
20,10,3.444942685490814
21,10,3.444942685490814
22,10,3.444942685490814
23,10,3.444942685490814
24,10,3.444942685490814
25,10,3.444942685490814
26,10,3.444942685490814
27,10,3.444942685490814
28,10,3.444942685490814
29,10,3.444942685490814
30,10,3.444942685490814
31,10,3.444942685490814
32,10,3.444942685490814
33,10,3.444942685490814
34,10,3.444942685490814
35,10,3.444942685490814
36,10,3.444942685490814
37,10,3.444942685490814
38,10,3.444942685490814
39,10,3.444942685490814
40,10,3.444942685490814
41,10,3.444942685490814
42,10,3.444942685490814
43,10,3.444942685490814
44,10,3.444942685490814
45,10,3.444942685490814
46,10,3.444942685490814
47,10,3.444942685490814
48,10,3.444942685490814
49,10,3.444942685490814
50,10,3.444942685490814
51,10,3.444942685490814
52,10,3.444942685490814
53,10,3.444942685490814
54,10,3.444942685490814
55,10,3.444942685490814
56,10,3.444942685490814
57,10,3.444942685490814
58,10,3.444942685490814
59,10,3.444942685490814
60,10,3.444942685490814
61,10,3.444942685490814
62,10,3.444942685490814
63,10,3.444942685490814
64,10,3.444942685490814
65,10,3.444942685490814
66,10,3.444942685490814
67,10,3.444942685490814
68,10,3.444942685490814
69,10,3.444942685490814
70,10,3.444942685490814
71,10,3.444942685490814
72,10,3.444942685490814
73,10,3.444942685490814
74,10,3.444942685490814
75,10,3.444942685490814
76,10,3.444942685490814
77,10,3.444942685490814
78,10,3.444942685490814
79,10,3.444942685490814
80,10,3.444942685490814
81,10,3.444942685490814
82,10,3.444942685490814
83,10,3.444942685490814
84,10,3.444942685490814
85,10,3.444942685490814
86,10,3.444942685490814
87,12,3.2892213481749573
88,13,3.2608361589841426
89,13,3.2608361589841426
90,13,3.2608361589841426
91,17,3.1903414192488877
92,21,3.2075517581893163
93,22,3.197158649643681
94,27,3.502714372718401
95,33,3.4369117909939453
96,36,3.6181640904751067
97,42,3.8094737095259847
98,43,3.8071121434229105
99,46,3.8100914539641497
100,49,3.7882994317585537
101,51,3.777449767760245
102,51,3.777449767760245
103,51,3.777449767760245
104,51,3.777449767760245
105,51,3.777449767760245
106,51,3.777449767760245
107,51,3.777449767760245
108,51,3.777449767760245
109,51,3.777449767760245
110,51,3.777449767760245
111,51,3.777449767760245
112,51,3.777449767760245
113,51,3.777449767760245
114,51,3.777449767760245
115,51,3.777449767760245
116,51,3.777449767760245
117,51,3.777449767760245
118,51,3.777449767760245
119,51,3.777449767760245
120,51,3.777449767760245
121,51,3.777449767760245
122,51,3.777449767760245
123,51,3.777449767760245
124,51,3.777449767760245
125,51,3.777449767760245
126,51,3.777449767760245
127,51,3.777449767760245
128,51,3.777449767760245
129,51,3.777449767760245
130,51,3.777449767760245
131,51,3.777449767760245
132,51,3.777449767760245
133,51,3.777449767760245
134,51,3.777449767760245
135,51,3.777449767760245
136,51,3.777449767760245
137,51,3.777449767760245
138,51,3.777449767760245
139,51,3.777449767760245
140,51,3.777449767760245
141,51,3.777449767760245
142,51,3.777449767760245
143,51,3.777449767760245
144,51,3.777449767760245
145,51,3.777449767760245
146,51,3.777449767760245
147,51,3.777449767760245
148,51,3.777449767760245
149,51,3.777449767760245
150,51,3.777449767760245
151,51,3.777449767760245
152,51,3.777449767760245
153,51,3.777449767760245
154,51,3.777449767760245
155,51,3.777449767760245
156,51,3.777449767760245
157,51,3.777449767760245
158,51,3.777449767760245
159,51,3.777449767760245
160,51,3.777449767760245
161,51,3.777449767760245
162,51,3.777449767760245
163,51,3.777449767760245
164,51,3.777449767760245
165,51,3.777449767760245
166,51,3.777449767760245
167,51,3.777449767760245
168,51,3.777449767760245
169,51,3.777449767760245
170,51,3.777449767760245
171,52,3.8006874335425516
172,53,3.790200998438902
