month,number,mean_distance
1,7,5.455859682567781
2,7,5.455859682567781
3,7,5.455859682567781
4,7,5.455859682567781
5,7,5.455859682567781
6,7,5.455859682567781
7,9,5.488564566221916
8,48,6.434445526453758
9,48,6.434445526453758
10,49,6.425586367721052
11,287,6.472612114207172
12,287,6.472612114207172
