day,number,mean_distance
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
9,1,0.0
10,1,0.0
11,1,0.0
12,1,0.0
13,1,0.0
14,1,0.0
15,1,0.0
16,1,0.0
17,1,0.0
18,1,0.0
19,1,0.0
20,1,0.0
21,1,0.0
22,1,0.0
23,1,0.0
24,1,0.0
25,1,0.0
26,1,0.0
27,1,0.0
28,1,0.0
29,1,0.0
30,1,0.0
31,1,0.0
32,1,0.0
33,1,0.0
34,1,0.0
35,1,0.0
36,1,0.0
37,1,0.0
38,1,0.0
39,1,0.0
40,1,0.0
41,1,0.0
42,1,0.0
43,1,0.0
44,1,0.0
45,1,0.0
46,1,0.0
47,1,0.0
48,1,0.0
49,1,0.0
50,1,0.0
51,1,0.0
52,1,0.0
53,1,0.0
54,1,0.0
55,1,0.0
56,1,0.0
57,1,0.0
58,1,0.0
59,1,0.0
60,1,0.0
61,1,0.0
62,1,0.0
63,1,0.0
64,1,0.0
65,1,0.0
66,1,0.0
67,1,0.0
68,1,0.0
69,1,0.0
70,1,0.0
71,1,0.0
72,1,0.0
73,1,0.0
74,1,0.0
75,1,0.0
76,1,0.0
77,1,0.0
78,1,0.0
79,1,0.0
80,1,0.0
81,1,0.0
82,1,0.0
83,1,0.0
84,1,0.0
85,1,0.0
86,1,0.0
87,1,0.0
88,1,0.0
89,1,0.0
90,1,0.0
91,1,0.0
92,1,0.0
93,1,0.0
94,1,0.0
95,1,0.0
96,1,0.0
97,1,0.0
98,1,0.0
99,1,0.0
100,1,0.0
101,1,0.0
102,1,0.0
103,1,0.0
104,1,0.0
105,1,0.0
106,1,0.0
107,1,0.0
108,1,0.0
109,1,0.0
110,1,0.0
111,1,0.0
112,1,0.0
113,1,0.0
114,1,0.0
115,1,0.0
116,1,0.0
117,1,0.0
118,1,0.0
119,1,0.0
120,1,0.0
121,1,0.0
122,1,0.0
123,1,0.0
124,1,0.0
125,1,0.0
126,1,0.0
127,1,0.0
128,1,0.0
129,1,0.0
130,1,0.0
131,1,0.0
132,1,0.0
133,1,0.0
134,1,0.0
135,1,0.0
136,1,0.0
137,1,0.0
138,1,0.0
139,1,0.0
140,1,0.0
141,1,0.0
142,1,0.0
143,1,0.0
144,1,0.0
145,1,0.0
146,1,0.0
147,1,0.0
148,1,0.0
149,1,0.0
150,1,0.0
151,1,0.0
152,1,0.0
153,1,0.0
154,1,0.0
155,1,0.0
156,1,0.0
157,1,0.0
158,1,0.0
159,1,0.0
160,1,0.0
161,1,0.0
162,1,0.0
163,1,0.0
164,1,0.0
165,1,0.0
166,1,0.0
167,1,0.0
168,1,0.0
169,1,0.0
170,1,0.0
171,1,0.0
172,1,0.0
173,1,0.0
174,1,0.0
175,1,0.0
176,1,0.0
177,1,0.0
178,1,0.0
179,1,0.0
180,1,0.0
181,1,0.0
182,1,0.0
183,1,0.0
184,1,0.0
185,2,1.1466413808243259
186,3,2.8125805066358915
187,4,3.5421960543683815
188,6,3.5086421812784807
189,6,3.5086421812784807
190,6,3.5086421812784807
191,7,4.053175421933328
192,7,4.053175421933328
193,7,4.053175421933328
194,7,4.053175421933328
195,7,4.053175421933328
196,7,4.053175421933328
197,7,4.053175421933328
198,7,4.053175421933328
199,7,4.053175421933328
200,7,4.053175421933328
201,7,4.053175421933328
202,7,4.053175421933328
203,7,4.053175421933328
204,7,4.053175421933328
205,7,4.053175421933328
206,7,4.053175421933328
207,7,4.053175421933328
208,7,4.053175421933328
209,7,4.053175421933328
210,7,4.053175421933328
211,7,4.053175421933328
212,7,4.053175421933328
213,7,4.053175421933328
214,7,4.053175421933328
215,7,4.053175421933328
216,7,4.053175421933328
217,7,4.053175421933328
218,7,4.053175421933328
219,7,4.053175421933328
220,7,4.053175421933328
221,7,4.053175421933328
222,7,4.053175421933328
223,7,4.053175421933328
224,7,4.053175421933328
225,7,4.053175421933328
226,7,4.053175421933328
227,7,4.053175421933328
228,7,4.053175421933328
229,7,4.053175421933328
230,7,4.053175421933328
231,7,4.053175421933328
232,7,4.053175421933328
233,7,4.053175421933328
234,7,4.053175421933328
235,7,4.053175421933328
236,7,4.053175421933328
237,7,4.053175421933328
238,7,4.053175421933328
239,7,4.053175421933328
240,7,4.053175421933328
241,7,4.053175421933328
242,7,4.053175421933328
243,7,4.053175421933328
244,7,4.053175421933328
245,7,4.053175421933328
246,7,4.053175421933328
247,7,4.053175421933328
248,7,4.053175421933328
249,7,4.053175421933328
250,7,4.053175421933328
251,7,4.053175421933328
252,7,4.053175421933328
253,7,4.053175421933328
254,7,4.053175421933328
255,7,4.053175421933328
256,7,4.053175421933328
257,7,4.053175421933328
258,7,4.053175421933328
259,7,4.053175421933328
260,7,4.053175421933328
261,7,4.053175421933328
262,7,4.053175421933328
263,7,4.053175421933328
264,7,4.053175421933328
265,7,4.053175421933328
266,7,4.053175421933328
267,7,4.053175421933328
268,7,4.053175421933328
269,7,4.053175421933328
270,7,4.053175421933328
271,7,4.053175421933328
272,7,4.053175421933328
273,7,4.053175421933328
274,7,4.053175421933328
275,7,4.053175421933328
276,8,4.064382352357184
277,14,4.371109155005203
278,17,4.477798264226397
279,21,4.51708118031385
280,27,4.620404068197438
281,30,4.704076740396157
282,33,4.770334133815863
283,33,4.770334133815863
284,37,4.776347846256993
285,43,4.681019993206625
286,47,4.638510517188103
287,48,4.683909681097649
288,51,4.797652983251246
289,52,4.774122766854605
290,52,4.774122766854605
291,54,4.768374772007864
292,54,4.768374772007864
293,55,4.787254757238219
294,55,4.787254757238219
295,55,4.787254757238219
296,55,4.787254757238219
297,55,4.787254757238219
298,55,4.787254757238219
299,55,4.787254757238219
300,55,4.787254757238219
301,55,4.787254757238219
302,55,4.787254757238219
303,55,4.787254757238219
304,55,4.787254757238219
305,55,4.787254757238219
306,55,4.787254757238219
307,55,4.787254757238219
308,55,4.787254757238219
309,55,4.787254757238219
310,55,4.787254757238219
311,55,4.787254757238219
312,55,4.787254757238219
313,55,4.787254757238219
314,55,4.787254757238219
315,55,4.787254757238219
316,55,4.787254757238219
317,55,4.787254757238219
318,55,4.787254757238219
319,55,4.787254757238219
320,55,4.787254757238219
321,55,4.787254757238219
322,55,4.787254757238219
323,55,4.787254757238219
324,55,4.787254757238219
325,55,4.787254757238219
326,55,4.787254757238219
327,55,4.787254757238219
328,55,4.787254757238219
329,55,4.787254757238219
330,55,4.787254757238219
331,55,4.787254757238219
332,55,4.787254757238219
333,55,4.787254757238219
334,55,4.787254757238219
335,55,4.787254757238219
336,55,4.787254757238219
337,55,4.787254757238219
338,55,4.787254757238219
339,55,4.787254757238219
340,55,4.787254757238219
341,55,4.787254757238219
342,55,4.787254757238219
343,55,4.787254757238219
344,55,4.787254757238219
345,55,4.787254757238219
346,55,4.787254757238219
347,55,4.787254757238219
348,55,4.787254757238219
349,55,4.787254757238219
350,55,4.787254757238219
351,55,4.787254757238219
352,55,4.787254757238219
353,55,4.787254757238219
354,56,4.9374303839811295
355,57,4.924843974422788
356,57,4.924843974422788
357,60,4.951378502802351
358,62,4.916794979908318
359,71,4.7546874630478
360,82,4.692878243297784
